"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"a1[13,5] SrvyUSA 2016",-1.14160932816447,-1.11503,-1.03134058858164,11000,0.95,-3.6794,1.58053,NA,NA,NA,NA,NA,NA,NA
"a1[14,5] StrVLLC 2016",-0.0235032268571818,-0.01991935,0.0772046912759068,11443.2,0.95,-3.22012,3.42038,NA,NA,NA,NA,NA,NA,NA
"a1[15,5] TCJRsrc 2016",0.00551989189468182,-0.00746236,-0.138368411755184,11606.6,0.95,-3.209,3.46472,NA,NA,NA,NA,NA,NA,NA
"a1[16,5] YouGov 2016",-0.114092912004736,-0.1018615,0.0143785846751303,9644.2,0.95,-2.0055,1.72724,NA,NA,NA,NA,NA,NA,NA
"a1[17,5] ZIn-JZA 2016",0.00368236991809091,0.006932695,0.210180713769494,10678.2,0.95,-3.28808,3.36879,NA,NA,NA,NA,NA,NA,NA
"a2[1] 2000",-1.86801150919455,-1.86643,-1.85980518685899,6821.7,0.95,-3.02475,-0.696425,NA,NA,NA,NA,NA,NA,NA
"a2[2] 2004",0.773057318552555,0.774986,0.795436234236197,5564,0.95,-0.285796,1.81906,NA,NA,NA,NA,NA,NA,NA
"a2[3] 2008",-0.202011211701264,-0.200956,-0.191843325659205,5791.5,0.95,-1.19467,0.742289,NA,NA,NA,NA,NA,NA,NA
"a2[4] 2012",-2.70493227436364,-2.701135,-2.64525982419378,6226.1,0.95,-3.80363,-1.66909,NA,NA,NA,NA,NA,NA,NA
"a2[5] 2016",2.96812774045455,2.96056,2.93718412976713,6751.4,0.95,1.77544,4.19525,NA,NA,NA,NA,NA,NA,NA
